"No.","Yr.","Mo.","SP500","HILTON","TI","GIANT"
1,1989,1,0.0711147918767104,-0.0304449648711944,0.0701219512195122,-0.00618556701030928
2,1989,2,-0.0289440952028776,-0.0533980582524272,-0.0883190883190883,-0.0572916666666667
3,1989,3,0.0208059267465208,0.182051282051282,-0.008,0.0883977900552486
4,1989,4,0.0500898701122529,0.112798264642082,0.00949367088607595,0.106598984771574
5,1989,5,0.030390130474099,0.331384015594542,0.115987460815047,0.0460829493087558
6,1989,6,-0.00335370631562451,0.160058737151248,-0.116741573033708,0
7,1989,7,0.0883703377570916,0.0634517766497462,0.00638977635782748,0.281938325991189
8,1989,8,0.0155166435506241,0.00596658711217184,0.0158730158730159,-0.137931034482759
9,1989,9,-0.00654431640347133,0.00474495848161329,-0.033,-0.024
10,1989,10,-0.0251754260346556,-0.0873671782762692,-0.172077922077922,-0.0491803278688525
11,1989,11,0.0165413092020214,-0.0271668822768435,0.142901960784314,-0.038961038961039
12,1989,12,0.0214168039538715,-0.12,-0.0103448275862069,0.027027027027027
13,1990,1,-0.0688172043010753,-0.256060606060606,-0.0696864111498258,-0.0570175438596491
14,1990,2,0.0085389570925003,0.0244399185336049,0.0561797752808989,-0.0560747663551402
15,1990,3,0.0242550242550243,-0.131736526946108,0.0334751773049645,0.0445544554455446
16,1990,4,-0.0268870977231276,-0.147126436781609,-0.0620689655172414,0.0246445497630332
17,1990,5,0.0919891172914147,0.200539083557951,0.235294117647059,0.0418604651162791
18,1990,6,-0.00888630512415912,-0.0135440180586907,-0.0522619047619048,-0.00446428571428571
19,1990,7,-0.00522317188983856,-0.150114416475973,-0.192429022082019,-0.0349775784753363
20,1990,8,-0.0943141934578127,-0.233062330623306,-0.1328125,-0.0467289719626168
21,1990,9,-0.0511842757936508,-0.159010600706714,0.02,-0.127450980392157
22,1990,10,-0.00669825191962098,-0.0294117647058824,-0.146666666666667,0.0685393258426966
23,1990,11,0.0599342105263158,0.131601731601732,0.325208333333333,0.0687830687830688
24,1990,12,0.0248277574328099,0.150579150579151,0.201581027667984,0.128712871287129
25,1991,1,0.0415177760281025,-0.0187919463087248,-0.0164473684210526,0.0535087719298246
26,1991,2,0.0672811327886488,0.2,0.110367892976589,-0.0209205020920502
27,1991,3,0.0222028495927207,-0.0632183908045977,-0.0348192771084337,-0.00427350427350427
28,1991,4,0.00031981237673898,0.0398773006134969,0.00940438871473354,0.00995708154506438
29,1991,5,0.0386049981350242,0.163421828908555,-0.0279503105590062,0.0213675213675214
30,1991,6,-0.0478926711643537,-0.145408163265306,-0.14555910543131,-0.0167364016736402
31,1991,7,0.0448593598448109,-0.00776119402985075,-0.0225563909774436,-0.0326808510638298
32,1991,8,0.0196487970913592,-0.0151515151515152,-0.0269230769230769,-0.185840707964602
33,1991,9,-0.0191437169663404,-0.0307692307692308,-0.10102766798419,0.00543478260869565
34,1991,10,0.0118341669674625,0.120634920634921,0.119469026548673,0.0179459459459459
35,1991,11,-0.0439036819977067,-0.106515580736544,-0.112885375494071,-0.0588235294117647
36,1991,12,0.111587868450509,0.0351437699680511,0.103139013452915,0.0965909090909091
37,1992,1,-0.0199237574624182,0.0691358024691358,0.158536585365854,0.0016580310880829
38,1992,2,0.00958951025001223,0.0203488372093023,0.0526315789473684,0.046875
39,1992,3,-0.0218318391083111,0.0626780626780627,-0.1252,-0.0696517412935323
40,1992,4,0.0278926899353464,0.10455764075067,0.0613026819923372,-0.0836363636363636
41,1992,5,0.000963971562838896,-0.0572815533980583,0.0866425992779783,-0.0352941176470588
42,1992,6,-0.0173588539785723,-0.0492227979274611,-0.0616611295681063,0.00609756097560976
43,1992,7,0.0393982457000049,0.0147138964577657,0.192170818505338,-0.00993939393939394
44,1992,8,-0.0240205553722125,-0.0162162162162162,-0.0776119402985075,-0.0185185185185185
45,1992,9,0.00910562036567398,0.0412087912087912,0.127637540453074,-0.106918238993711
46,1992,10,0.00210627094303494,-0.0712401055408971,0.132564841498559,0.00957746478873239
47,1992,11,0.0302617751027037,0.0693181818181818,0,0.183098591549296
48,1992,12,0.0101078010896024,-0.072192513368984,-0.0472264631043257,0.0654761904761905
49,1993,1,0.0070459709439765,0.113544668587896,0.158176943699732,-0.0203351955307263
50,1993,2,0.0104836136560463,-0.0416666666666667,0.0462962962962963,-0.028735632183908
51,1993,3,0.0186972799855654,0.0516304347826087,0.0341592920353982,0.159763313609467
52,1993,4,-0.0254167865919809,-0.0749354005167959,-0.0214592274678112,0.0428571428571429
53,1993,5,0.0227174629137418,0.12122905027933,0.135964912280702,0.00492610837438424
54,1993,6,0.000755236677847131,-0.0776942355889724,0.0819305019305019,-0.0294117647058824
55,1993,7,-0.00532705924133798,-0.0695652173913043,0.0125223613595707,0.0474747474747475
56,1993,8,0.0344319728650168,0.0735294117647059,0.139575971731449,-0.0922330097087379
57,1993,9,-0.00998791957891104,0.073972602739726,-0.0613333333333333,-0.0160427807486631
58,1993,10,0.0193929357418343,-0.0433673469387755,-0.130794701986755,0.0565217391304348
59,1993,11,-0.0129106726802471,-0.0176,-0.020952380952381,-0.0362694300518135
60,1993,12,0.0100911669806622,0.327868852459016,-0.0088715953307393,0.10752688172043
