"date","daily.returns"
2017-03-01,0
2017-03-02,-0.577929036640223
2017-03-03,0.0531863783025166
2017-03-06,-0.32548522795135
2017-03-07,-0.284639266578279
2017-03-08,-0.199610982118292
2017-03-09,0.0811454580518012
2017-03-10,0.328751409107908
2017-03-13,0.0694039494434362
2017-03-14,-0.333158676435186
2017-03-15,0.840739727902173
2017-03-16,-0.158966709767794
2017-03-17,-0.131015401814805
2017-03-20,-0.198192471033487
2017-03-21,-1.23192137926261
2017-03-22,0.192622985183766
2017-03-23,-0.10488574729276
2017-03-24,-0.0845755100194689
2017-03-27,-0.101754414786648
2017-03-28,0.725896159053252
2017-03-29,0.12893850530169
2017-03-30,0.296585800119731
2017-03-31,-0.225350999852414
2017-04-03,-0.159313497218772
2017-04-04,0.0721702592912266
2017-04-05,-0.295310955505323
2017-04-06,0.222752160101636
2017-04-07,-0.0823226325525117
2017-04-10,0.0744307486936657
2017-04-11,-0.129340529505995
2017-04-12,-0.374613956388337
2017-04-13,-0.680824702138749
2017-04-17,0.861726073450675
2017-04-18,-0.287660608813955
2017-04-19,-0.157686717496064
2017-04-20,0.758300246300858
2017-04-21,-0.303555468910055
2017-04-24,1.08572543820746
2017-04-25,0.609211026845724
2017-04-26,-0.0474700263659478
2017-04-27,0.0655642222586517
2017-04-28,-0.190483661623775
2017-05-01,0.173615568453345
2017-05-02,0.118892027391215
2017-05-03,-0.107006370907237
2017-05-04,0.0635795048439913
2017-05-05,0.410109329372355
2017-05-08,0.0138704992023619
2017-05-09,-0.0979264172641381
2017-05-10,0.151369815276992
2017-05-11,-0.184054794380317
2017-05-12,-0.145996370387991
2017-05-15,0.489897917667337
2017-05-16,-0.0486432872013109
2017-05-17,-1.78834182340426
2017-05-18,0.370659204570467
2017-05-19,0.678893076131537
2017-05-22,0.518051554312771
2017-05-23,0.186033272819031
2017-05-24,0.252557437347445
2017-05-25,0.458074947900355
2017-05-26,0.0442681471521711
2017-05-30,-0.105036592160834
2017-05-31,-0.0305309685178834
2017-06-01,0.769356945291078
2017-06-02,0.372460764214111
2017-06-05,-0.11823472598419
2017-06-06,-0.277624845646163
2017-06-07,0.177842638907233
2017-06-08,0.0294074532590782
2017-06-09,-0.0826620334296146
2017-06-12,-0.0906223938525463
2017-06-13,0.476782693436695
2017-06-14,-0.0924003608441248
2017-06-15,-0.205588620504504
2017-06-16,0.0291895591259639
2017-06-19,0.835954791718208
2017-06-20,-0.66871453958498
2017-06-21,-0.049328362276635
2017-06-22,-0.0446781831719978
2017-06-23,0.156012220179047
2017-06-26,0.0327269096727978
2017-06-27,-0.8072619552001
2017-06-28,0.90078444424595
2017-06-29,-0.856873034400885
2017-06-30,0.158423580201617
2017-07-03,0.240468889299716
2017-07-05,0.164832069741849
2017-07-06,-0.900931706145469
2017-07-07,0.641455093033083
2017-07-10,0.0932813030246171
2017-07-11,-0.0769816708428794
2017-07-12,0.739272479046527
2017-07-13,0.190035663320343
2017-07-14,0.468999862557484
2017-07-17,-0.00210669201254898
2017-07-18,0.0618761894403574
2017-07-19,0.546455710144955
2017-07-20,-0.00858022069974984
2017-07-21,-0.0370309478511466
2017-07-24,-0.104011163148721
2017-07-25,0.292052140407484
2017-07-26,0.0286213816645953
2017-07-27,-0.0866757413167552
2017-07-28,-0.130422391450058
2017-07-31,-0.0724141168416348
2017-08-01,0.245257381943009
2017-08-02,0.0683208215653597
2017-08-03,-0.199388770575859
2017-08-04,0.190787607370657
2017-08-07,0.167463688021896
2017-08-08,-0.229507356868019
2017-08-09,-0.0246583029917868
2017-08-10,-1.41151278454468
2017-08-11,0.134185740694059
2017-08-14,1.00979937892216
2017-08-15,-0.0268320807970679
2017-08-16,0.170432442732893
2017-08-17,-1.53925279199614
2017-08-18,-0.180876799224927
2017-08-21,0.119236508162768
2017-08-22,0.997702118667987
2017-08-23,-0.336304950318522
2017-08-24,-0.205587891232095
2017-08-25,0.178490849809454
2017-08-28,0.0530545332876553
2017-08-29,0.0982241498957093
2017-08-30,0.487485753861705
2017-08-31,0.576681530206202
