name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
Briar Cliff University,Private,No,NULL,NULL,22566,41900,13750,0.4237,22566
Buena Vista University,Private,No,0.6385,NULL,19175,40000,17146,0.601,19175
Clarke University,Private,No,0.6319,NULL,24334,41300,21500,0.6319,24334
Dordt College,Private,No,0.7207,NULL,23792,41700,16432,0.6452,23792
Drake University,Private,No,0.688,NULL,27578,58300,19197,0.7906,27578
University of Dubuque,Private,No,0.7416,NULL,23231,39200,15673,0.4277,23231
Faith Baptist Bible College and Theological Seminary,Private,No,0.6,NULL,14874,35400,8009,0.5366,14874
Graceland University-Lamoni,Private,No,0.5614,NULL,18181,36200,15000,0.4961,18181
Grand View University,Private,No,0.9268,NULL,18332,43200,17750,0.5014,18332
Purdue University Global-Cedar Rapids,Private,Yes,NULL,NULL,17081,33900,12500,0.3333,17081
Iowa State University,Public,No,0.8934,14331,NULL,50700,18250,0.7343,14331
University of Iowa,Public,No,0.8604,15103,NULL,51900,16173,0.7354,15103
Loras College,Private,No,0.9509,NULL,18408,44600,20500,0.6816,18408
Maharishi University of Management,Private,No,0.8889,NULL,17942,21400,18750,0.6364,17942
Morningside College,Private,No,0.5518,NULL,22267,43700,17125,0.557,22267
Mount Mercy University,Private,No,0.5724,NULL,20477,45300,16793,0.58,20477
Ashford University,Private,Yes,NULL,NULL,18749,41200,8344,0.0765,18749
University of Northern Iowa,Public,No,0.8083,16496,NULL,44600,15541,0.6753,16496
Northwestern College,Private,No,0.681,NULL,23064,38400,17375,0.679,23064
Palmer College of Chiropractic,Private,No,NULL,NULL,13315,41200,9701,1,13315
Saint Ambrose University,Private,No,0.6081,NULL,24503,47300,20500,0.6325,24503
Simpson College,Private,No,0.8386,NULL,22077,47500,21500,0.6828,22077
Upper Iowa University,Private,No,0.5558,NULL,24710,42900,17504,0.4143,24710
Waldorf University,Private,Yes,0.7185,NULL,19135,37800,12000,0.2909,19135
William Penn University,Private,No,0.5379,NULL,20172,42100,14000,0.3504,20172
Baker University,Private,No,0.8571,NULL,21289,51300,19500,0.5678,21289
Benedictine College,Private,No,0.9747,NULL,24312,40100,19000,0.6271,24312
Emporia State University,Public,No,0.8275,14584,NULL,37100,14000,0.4452,14584
Fort Hays State University,Public,No,0.8862,12376,NULL,38200,13519,0.438,12376
Barclay College,Private,No,0.6697,NULL,21292,33900,15625,0.5263,21292
Friends University,Private,No,0.4801,NULL,23506,41800,18750,0.3362,23506
University of Kansas,Public,No,0.9338,18814,NULL,48800,15000,0.6308,18814
Newman University,Private,No,0.6384,NULL,13800,44000,15250,0.5235,13800
Kansas State University,Public,No,0.9412,17926,NULL,45600,17500,0.6266,17926
Kansas Wesleyan University,Private,No,0.5365,NULL,25808,40300,12878,0.3212,25808
MidAmerica Nazarene University,Private,No,0.6562,NULL,20227,42900,13396,0.5146,20227
Ottawa University-Ottawa,Private,No,0.8045,NULL,23479,41500,12500,0.4578,23479
Pittsburg State University,Public,No,0.8721,14214,NULL,39400,14000,0.4721,14214
University of Saint Mary,Private,No,0.4915,NULL,16702,38500,15500,0.4369,16702
Southwestern College,Private,No,0.9688,NULL,22291,46400,12500,0.4063,22291
Tabor College,Private,No,0.5318,NULL,22991,40800,16462,0.3841,22991
Washburn University,Public,No,NULL,13341,NULL,40300,12500,0.3887,13341
Wichita State University,Public,No,0.938,14113,NULL,40400,15000,0.4757,14113
Asbury University,Private,No,0.7032,NULL,28095,34900,19153,0.6883,28095
Bellarmine University,Private,No,0.8925,NULL,24433,45700,19000,0.6454,24433
Brescia University,Private,No,0.424,NULL,13312,40100,19562,0.3867,13312
Campbellsville University,Private,No,0.6859,NULL,19568,33700,10500,0.3366,19568
University of the Cumberlands,Private,No,0.7436,NULL,19509,35100,9734,0.4085,19509
Eastern Kentucky University,Public,No,0.8737,11892,NULL,36100,15000,0.4383,11892
Georgetown College,Private,No,0.6733,NULL,20769,43000,14613,0.5339,20769
Kentucky State University,Public,No,0.4528,8772,NULL,28700,17479,0.2042,8772
University of Kentucky,Public,No,0.9577,18903,NULL,45100,16250,0.6505,18903
Kentucky Christian University,Private,No,0.4021,NULL,18051,34600,10625,0.3254,18051
Lindsey Wilson College,Private,No,NULL,NULL,16083,28800,13651,0.3519,16083
University of Louisville,Public,No,0.753,16721,NULL,41800,13061,0.5441,16721
Midway University,Private,No,0.567,NULL,24366,34500,14580,0.5243,24366
Morehead State University,Public,No,0.7962,12179,NULL,33100,16948,0.4175,12179
Murray State University,Public,No,0.8667,11497,NULL,37100,16238,0.491,11497
Northern Kentucky University,Public,No,0.9038,9131,NULL,37500,14000,0.3967,9131
University of Pikeville,Private,No,1,NULL,18374,31100,11629,0.2994,18374
Spalding University,Private,No,0.5899,NULL,21872,45100,17750,0.4468,21872
Sullivan University,Private,Yes,NULL,NULL,28718,31400,10994,0.3172,28718
Thomas More College,Private,No,0.9123,NULL,18706,49400,13175,0.451,18706
Union College,Private,No,0.6347,NULL,23504,32100,12383,0.3368,23504
Western Kentucky University,Public,No,0.9545,11850,NULL,34700,14250,0.43120000000000003,11850
Centenary College of Louisiana,Private,No,0.6179,NULL,24704,44900,17250,0.4833,24704
Grambling State University,Public,No,0.4277,18846,NULL,28100,25250,0.3513,18846
Louisiana State University and Agricultural & Mechanical College,Public,No,0.7392,18181,NULL,50100,13000,0.6665,18181
Louisiana State University-Shreveport,Public,No,0.8384,9571,NULL,35700,12706,0.3048,9571
Louisiana College,Private,No,0.7192,NULL,15874,42800,10250,0.419,15874
Louisiana Tech University,Public,No,0.6484,10774,NULL,41500,13000,0.5339,10774
Loyola University New Orleans,Private,No,0.6911,NULL,22766,47100,19500,0.5623,22766
McNeese State University,Public,No,0.6224,10977,NULL,38200,12153,0.4241,10977
University of New Orleans,Public,No,0.5661,11135,NULL,37800,10250,0.3228,11135
Nicholls State University,Public,No,0.9374,12448,NULL,37500,11750,0.4679,12448
University of Louisiana at Monroe,Public,No,0.7546,11316,NULL,37500,12870,0.409,11316
Northwestern State University of Louisiana,Public,No,0.8029,11295,NULL,34300,13000,0.3944,11295
University of Holy Cross,Private,No,0.4615,NULL,13645,39500,15000,0.5208,13645
Franciscan Missionaries of Our Lady University,Private,No,0.4844,NULL,16979,47200,15070,0.4045,16979
Southeastern Louisiana University,Public,No,0.8834,12739,NULL,37200,11000,0.4135,12739
Southern University and A & M College,Public,No,0.4547,14259,NULL,34700,18750,0.29,14259
Southern University at New Orleans,Public,No,0.2467,7335,NULL,28600,20210,0.2039,7335
University of Louisiana at Lafayette,Public,No,0.5087,12768,NULL,39900,12444,0.4412,12768
Tulane University of Louisiana,Private,No,0.215,NULL,34238,61700,19000,0.8336,34238
Xavier University of Louisiana,Private,No,0.6408,NULL,16075,49800,12750,0.4401,16075
College of the Atlantic,Private,No,0.6793,NULL,20234,24600,16834,0.6579,20234
University of Maine at Farmington,Public,No,0.8257,13827,NULL,36000,16000,0.5073,13827
University of Maine,Public,No,0.9226,17074,NULL,42500,18500,0.5758,17074
Maine Maritime Academy,Public,No,0.7961,23460,NULL,95600,27000,0.6894,23460
University of New England,Private,No,0.8074,NULL,33183,46300,19822,0.59,33183
Maine College of Art,Private,No,0.6774,NULL,29823,27700,17250,0.5294,29823
Saint Joseph's College of Maine,Private,No,0.8011,NULL,25367,43400,16745,0.5922,25367
University of Southern Maine,Public,No,0.8348,11582,NULL,38700,14084,0.3293,11582
Thomas College,Private,No,NULL,NULL,21647,38100,17275,0.4791,21647
University of Baltimore,Public,No,0.8099,21329,NULL,58000,16948,0.329,21329
Bowie State University,Public,No,0.36,14974,NULL,45800,12500,0.3962,14974
Capitol Technology University,Private,No,0.7473,NULL,23118,63900,14000,0.5231,23118
Washington Adventist University,Private,No,0.6139,NULL,18864,42600,25000,0.372,18864
Coppin State University,Public,No,0.3651,10675,NULL,38100,17000,0.2448,10675
Frostburg State University,Public,No,0.7229,14699,NULL,44600,15000,0.4945,14699
Goucher College,Private,No,0.7884,NULL,25306,48900,17996,0.6621,25306
Hood College,Private,No,0.8113,NULL,23416,45300,19613,0.6104,23416
Johns Hopkins University,Private,No,0.1254,NULL,33586,73200,13500,0.9268,33586
Loyola University Maryland,Private,No,0.7528,NULL,35867,68100,26945,0.8109,35867
University of Maryland-University College,Public,No,NULL,14861,NULL,51200,11547,0.0881,14861
University of Maryland-Baltimore County,Public,No,0.6021,20539,NULL,55000,16500,0.6342,20539
University of Maryland-College Park,Public,No,0.445,18517,NULL,62900,15750,0.8529,18517
Maryland Institute College of Art,Private,No,0.6161,NULL,38763,37300,21500,0.7181,38763
University of Maryland Eastern Shore,Public,No,0.3901,15860,NULL,36600,17500,0.3824,15860
Morgan State University,Public,No,0.6372,16658,NULL,40500,21500,0.3752,16658
Mount St. Mary's University,Private,No,0.6423,NULL,28495,52600,19500,0.6329,28495
Notre Dame of Maryland University,Private,No,0.714,NULL,15963,51800,19481,0.4307,15963
Salisbury University,Public,No,0.6502,18792,NULL,50500,15900,0.7095,18792
St. Mary's College of Maryland,Public,No,0.8242,21025,NULL,52200,17750,0.7825,21025
St. John's College,Private,No,0.5445,NULL,26808,36900,22625,0.6667,26808
Towson University,Public,No,0.773,17893,NULL,50800,15750,0.7172,17893
Stevenson University,Private,No,0.6087,NULL,27542,49600,22000,0.5404,27542
Washington College,Private,No,0.4762,NULL,28943,51400,20500,0.7644,28943
McDaniel College,Private,No,0.85,NULL,20333,49700,19500,0.6817,20333
American International College,Private,No,0.7183,NULL,22429,46000,20050,0.4141,22429
Anna Maria College,Private,No,0.7918,NULL,24026,44800,15442,0.4126,24026
Assumption College,Private,No,0.7899,NULL,28285,55200,25000,0.71,28285
Babson College,Private,No,0.2418,NULL,35540,96100,21875,0.9215,35540
Bay Path University,Private,No,0.6286,NULL,22455,42700,17610,0.5676,22455
Becker College,Private,No,0.6941,NULL,32721,43800,19750,0.3846,32721
Bentley University,Private,No,0.4415,NULL,35671,86900,23250,0.9128,35671
Berklee College of Music,Private,No,0.5252,NULL,47270,30300,15000,0.6403,47270
Boston Architectural College,Private,No,NULL,NULL,28216,46100,33166,0.1034,28216
Boston College,Private,No,0.3241,NULL,34550,72500,16000,0.9211,34550
Boston University,Private,No,0.2511,NULL,37065,65300,22500,0.8713,37065
Brandeis University,Private,No,0.3422,NULL,31308,57900,24708,0.9005,31308
Bridgewater State University,Public,No,0.8036,18685,NULL,45300,18500,0.5941,18685
Cambridge College,Private,No,NULL,NULL,24521,38100,15302,0.1111,24521
Clark University,Private,No,0.5627,NULL,27004,49100,22750,0.8284,27004
Curry College,Private,No,0.9005,NULL,29785,45900,18871,0.5248,29785
Eastern Nazarene College,Private,No,0.6776,NULL,16313,42300,19000,0.4938,16313
Emerson College,Private,No,0.4606,NULL,43965,46600,20500,0.8079,43965
Emmanuel College,Private,No,0.7299,NULL,30698,49700,23125,0.6582,30698
Endicott College,Private,No,0.814,NULL,34571,51100,23019,0.7512,34571
Fisher College,Private,No,0.6583,NULL,23772,34900,12000,0.3176,23772
Fitchburg State University,Public,No,0.8004,15672,NULL,45700,17505,0.5965,15672
Framingham State University,Public,No,0.6811,20355,NULL,45800,18163,0.5398,20355
Gordon College,Private,No,0.8889,NULL,28240,41700,21500,0.7015,28240
Harvard University,Private,No,0.0516,NULL,14327,89700,12500,0.9644,14327
Lasell College,Private,No,0.8072,NULL,25743,43000,23250,0.5413,25743
Lesley University,Private,No,0.7261,NULL,31401,38700,15750,0.5966,31401
University of Massachusetts-Lowell,Public,No,0.6883,19322,NULL,53300,18926,0.6008,19322
University of Massachusetts-Amherst,Public,No,0.5758,20926,NULL,51400,20600,0.7718,20926
University of Massachusetts-Boston,Public,No,0.7515,12292,NULL,48200,16250,0.4803,12292
MCPHS University,Private,No,0.8386,NULL,37779,116000,24500,0.7384,37779
Massachusetts College of Art and Design,Public,No,0.7066,21612,NULL,36200,20000,0.7323,21612
Massachusetts Institute of Technology,Private,No,0.0717,NULL,20771,104700,11625,0.9383,20771
Massachusetts Maritime Academy,Public,No,0.8317,19032,NULL,86600,22976,0.75,19032
Merrimack College,Private,No,0.8154,NULL,32442,57100,23250,0.6847,32442
Mount Holyoke College,Private,No,0.5084,NULL,26239,48600,18764,0.8615,26239
Mount Ida College,Private,No,0.7488,NULL,27092,40400,12000,0.3957,27092
The New England Conservatory of Music,Private,No,0.3281,NULL,37507,32100,24568,0.7957,37507
Nichols College,Private,No,0.925,NULL,29398,48300,19500,0.5144,29398
Massachusetts College of Liberal Arts,Public,No,0.7663,17549,NULL,35800,17500,0.5425,17549
Northeastern University,Private,No,0.2744,NULL,29748,67400,23989,0.8713,29748
College of Our Lady of the Elms,Private,No,0.7949,NULL,20989,46200,24500,0.5707,20989
Pine Manor College,Private,No,0.5119,NULL,21112,36600,12000,0.2537,21112
Regis College,Private,No,0.8163,NULL,28271,47500,24125,0.4641,28271
Salem State University,Public,No,0.8191,18395,NULL,43500,19197,0.5213,18395
Simmons University,Private,No,0.6044,NULL,28308,55800,22000,0.7326,28308
Smith College,Private,No,0.3187,NULL,24829,46200,19000,0.8804,24829
Springfield College,Private,No,0.6989,NULL,27637,45100,22000,0.7405,27637
University of Massachusetts-Dartmouth,Public,No,0.8427,18899,NULL,48200,19500,0.4847,18899
Suffolk University,Private,No,0.8355,NULL,30126,53100,20500,0.6024,30126
Tufts University,Private,No,0.1491,NULL,32620,75800,15500,0.9323,32620
Wentworth Institute of Technology,Private,No,0.9187,NULL,36690,65100,20000,0.6745,36690
Western New England University,Private,No,0.8071,NULL,29694,54900,19500,0.592,29694
Westfield State University,Public,No,0.8525,17773,NULL,46100,16750,0.6504,17773
Williams College,Private,No,0.1458,NULL,22667,59000,11500,0.9376,22667
Worcester Polytechnic Institute,Private,No,0.4849,NULL,40376,84900,27000,0.8865,40376
Worcester State University,Public,No,0.7633,18836,NULL,48200,12931,0.5544,18836
Adrian College,Private,No,0.5973,NULL,27209,38600,18468,0.5249,27209
Andrews University,Private,No,0.5766,NULL,21460,45200,21453,0.5486,21460
Aquinas College,Private,No,0.7451,NULL,16927,37300,20500,0.5947,16927
Baker College,Private,No,NULL,NULL,12871,27200,14668,0.1261,12871
Calvin College,Private,No,0.8348,NULL,25596,44800,20500,0.7234,25596
Central Michigan University,Public,No,0.6775,15531,NULL,41900,21250,0.5836,15531
College for Creative Studies,Private,No,0.4899,NULL,36313,44100,18635,0.5972,36313
Davenport University,Private,No,0.8192,NULL,16972,30700,16500,0.4437,16972
University of Detroit Mercy,Private,No,0.6471,NULL,19755,47100,21000,0.6219,19755
Eastern Michigan University,Public,No,0.4474,14043,NULL,39300,19253,0.404,14043
Ferris State University,Public,No,0.7416,12949,NULL,44500,16492,0.4491,12949
Kettering University,Private,No,0.7033,NULL,37247,80500,27000,0.6109,37247
Cornerstone University,Private,No,0.6737,NULL,20415,35400,19654,0.5262,20415
Grand Valley State University,Public,No,0.809,16975,NULL,42800,19500,0.6526,16975
Lawrence Technological University,Private,No,0.5964,NULL,27331,55300,19500,0.5357,27331
Madonna University,Private,No,0.7433,NULL,15436,40900,20500,0.6897,15436
Marygrove College,Private,No,0.4098,NULL,11992,28700,23250,0.3261,11992
Rochester College,Private,No,1,NULL,17557,35300,15364,0.4194,17557
University of Michigan-Ann Arbor,Public,No,0.265,14860,NULL,63400,15459,0.9159,14860
Michigan State University,Public,No,0.7155,18576,NULL,53600,21250,0.7934,18576
Michigan Technological University,Public,No,0.7449,15481,NULL,66400,19500,0.6652,15481
University of Michigan-Dearborn,Public,No,0.6428,10940,NULL,48600,17500,0.5444,10940
University of Michigan-Flint,Public,No,0.6512,11577,NULL,40600,19000,0.4405,11577
Northern Michigan University,Public,No,0.7437,13883,NULL,35500,15000,0.4904,13883
Northwood University,Private,No,0.6927,NULL,24587,48900,18500,0.5542,24587
Oakland University,Public,No,0.8441,12779,NULL,43100,18500,0.4571,12779
Olivet College,Private,No,0.7007,NULL,20098,38400,14000,0.5324,20098
Saginaw Valley State University,Public,No,0.7384,14729,NULL,39300,19500,0.3976,14729
Siena Heights University,Private,No,0.6712,NULL,21333,42000,14344,0.4271,21333
Spring Arbor University,Private,No,0.6702,NULL,18730,41000,23900,0.5935,18730
Wayne State University,Public,No,0.6741,12970,NULL,40800,17250,0.4656,12970
Western Michigan University,Public,No,0.8232,17259,NULL,45000,20250,0.5082,17259
Augsburg University,Private,No,0.6458,NULL,23316,46800,20834,0.6211,23316
Bemidji State University,Public,No,0.662,15464,NULL,40600,12500,0.466,15464
Bethel University,Private,No,0.835,NULL,27151,47300,18250,0.7052,27151
Concordia College at Moorhead,Private,No,0.616,NULL,23393,44500,23000,0.6967,23393
Concordia University-Saint Paul,Private,No,0.5487,NULL,18392,49200,14000,0.5533,18392
Martin Luther College,Private,No,0.7061,NULL,18334,37300,15625,0.6919,18334
Hamline University,Private,No,0.6911,NULL,21103,49200,18998,0.6673,21103
Minnesota State University-Mankato,Public,No,0.6096,15615,NULL,44900,15000,0.4768,15615
Argosy University-Twin Cities,Private,Yes,NULL,NULL,19906,41400,15585,0.3158,19906
Metropolitan State University,Public,No,0.5554,14814,NULL,48200,14000,0.2745,14814
University of Minnesota-Twin Cities,Public,No,0.4959,17396,NULL,51900,16751,0.801,17396
Minneapolis College of Art and Design,Private,No,0.5853,NULL,26763,35400,20500,0.5926,26763
University of Minnesota-Duluth,Public,No,0.7661,17131,NULL,47200,15750,0.5924,17131
Minnesota State University Moorhead,Public,No,0.6039,16096,NULL,40600,15690,0.4632,16096
North Central University,Private,No,0.9074,NULL,20688,34600,18904,0.3992,20688
University of Northwestern-St Paul,Private,No,0.934,NULL,23249,38500,18750,0.6203,23249
Northwestern Health Sciences University,Private,No,NULL,NULL,14145,39900,8880,0.6667,14145
Saint Cloud State University,Public,No,0.8578,14633,NULL,44200,14250,0.4434,14633
Saint Johns University,Private,No,0.8023,NULL,23977,60600,23250,0.7389,23977
Saint Mary's University of Minnesota,Private,No,0.6438,NULL,20210,47800,17776,0.5791,20210
Crown College,Private,No,0.512,NULL,22764,35100,18500,0.6688,22764
The College of Saint Scholastica,Private,No,0.6825,NULL,23935,51400,16608,0.6694,23935
University of St Thomas,Private,No,0.8416,NULL,30503,56800,21460,0.7685,30503
St Catherine University,Private,No,0.7013,NULL,19935,49200,21000,0.5305,19935
Southwest Minnesota State University,Public,No,0.6163,14708,NULL,37600,13775,0.4494,14708
Winona State University,Public,No,0.665,17695,NULL,44700,17000,0.6067,17695
Alcorn State University,Public,No,0.7861,15388,NULL,31100,20037,0.3278,15388
Belhaven University,Private,No,0.5912,NULL,17395,37300,18841,0.4932,17395
Blue Mountain College,Private,No,0.9952,NULL,12140,31400,10000,0.6092,12140
Delta State University,Public,No,0.8692,12809,NULL,33700,14250,0.3963,12809
Jackson State University,Public,No,0.7173,15380,NULL,30000,23000,0.3411,15380
Millsaps College,Private,No,0.4895,NULL,22292,48100,18500,0.6652,22292
University of Mississippi,Public,No,0.8391,13929,NULL,42700,15000,0.6007,13929
Mississippi University for Women,Public,No,0.9802,10684,NULL,34100,12500,0.4382,10684
Mississippi Valley State University,Public,No,0.8628,14488,NULL,23200,19000,0.3,14488
Mississippi College,Private,No,0.3903,NULL,16693,38300,15000,0.5919,16693
Mississippi State University,Public,No,0.624,16192,NULL,40200,15000,0.579,16192
University of Southern Mississippi,Public,No,0.9843,13178,NULL,36400,15000,0.4674,13178
Tougaloo College,Private,No,0.7472,NULL,11623,27500,20000,0.5,11623
William Carey University,Private,No,0.4882,NULL,17954,34700,16419,0.5694,17954
Avila University,Private,No,0.3886,NULL,20887,44100,18010,0.4161,20887
Baptist Bible College,Private,No,NULL,NULL,14186,29000,12000,0.2958,14186
Cox College,Private,No,1,NULL,16711,42100,18375,0.1765,16711
Calvary University,Private,No,0.7436,NULL,15650,36800,12000,0.6667,15650
University of Central Missouri,Public,No,0.836,14267,NULL,38000,15250,0.4909,14267
Cleveland University-Kansas City,Private,No,0.8,NULL,16883,43800,10368,1,16883
Columbia College,Private,No,NULL,NULL,24856,38300,15000,0.2627,24856
Culver-Stockton College,Private,No,0.5466,NULL,19797,36600,15000,0.4772,19797
Drury University,Private,No,0.6608,NULL,19631,32200,14250,0.5451,19631
Evangel University,Private,No,0.9935,NULL,21004,35800,18000,0.4817,21004
Fontbonne University,Private,No,0.9236,NULL,22163,40800,20409,0.5,22163
Hannibal-LaGrange University,Private,No,0.5455,NULL,18594,34300,13447,0.5063,18594
Lincoln University,Public,No,NULL,11187,NULL,31400,12902,0.1584,11187
Lindenwood University,Private,No,0.7375,NULL,17548,41300,21458,0.4985,17548
Maryville University of Saint Louis,Private,No,0.9188,NULL,23891,47200,16453,0.7156,23891
Missouri Baptist University,Private,No,0.545,NULL,19599,35600,16375,0.3772,19599
Missouri Southern State University,Public,No,0.9508,9140,NULL,33300,10100,0.3319,9140
Missouri Valley College,Private,No,0.5365,NULL,20730,34000,9500,0.2853,20730
Missouri Western State University,Public,No,NULL,10905,NULL,34400,12250,0.2938,10905
University of Missouri-Columbia,Public,No,0.7809,18602,NULL,48300,18250,0.6823,18602
University of Missouri-Kansas City,Public,No,0.6415,14897,NULL,45700,14000,0.4847,14897
Missouri University of Science and Technology,Public,No,0.8351,14473,NULL,71200,16750,0.6413,14473
University of Missouri-St Louis,Public,No,0.7594,10010,NULL,42900,16718,0.5565,10010
Truman State University,Public,No,0.6749,12537,NULL,44500,14000,0.7489,12537
Northwest Missouri State University,Public,No,0.7411,11502,NULL,40000,14000,0.4978,11502
Park University,Private,No,0.6904,NULL,17013,45900,12295,0.2333,17013
Rockhurst University,Private,No,0.7246,NULL,22901,50800,15734,0.7454,22901
Saint Louis University,Private,No,0.6443,NULL,27341,56500,20500,0.7733,27341
St. Louis College of Pharmacy,Private,No,0.7202,NULL,30274,124100,19500,0.7056,30274
Southwest Baptist University,Private,No,0.732,NULL,17959,33700,14750,0.4538,17959
Stephens College,Private,No,0.5311,NULL,23249,33900,18500,0.6087,23249
Southeast Missouri State University,Public,No,0.8455,12655,NULL,37000,14000,0.521,12655
Missouri State University-Springfield,Public,No,0.8404,15855,NULL,39300,15000,0.5491,15855
Washington University in St Louis,Private,No,0.1596,NULL,28540,70100,14781,0.9417,28540
Webster University,Private,No,0.5356,NULL,22937,42300,17947,0.6356,22937
William Jewell College,Private,No,0.4763,NULL,21134,45700,20000,0.5926,21134
William Woods University,Private,No,0.7486,NULL,21619,36500,13834,0.5922,21619
Montana State University Billings,Public,No,NULL,14340,NULL,34600,9500,0.2717,14340
University of Providence,Private,No,0.616,NULL,20235,32500,15750,0.454,20235
Montana Technological University,Public,No,0.9238,12993,NULL,41700,11737,0.4137,12993
Montana State University,Public,No,0.8311,17754,NULL,43200,13000,0.5449,17754
The University of Montana,Public,No,0.9264,15006,NULL,35500,14250,0.458,15006
Montana State University-Northern,Public,No,1,12898,NULL,37100,8250,0.3266,12898
Rocky Mountain College,Private,No,0.6438,NULL,20165,38800,15999,0.5244,20165
Bellevue University,Private,No,NULL,NULL,11938,53600,15000,0.1667,11938
Clarkson College,Private,No,0.6207,NULL,22913,49300,21000,0.7407,22913
Bryan College of Health Sciences,Private,No,0.5234,NULL,24512,51300,23250,0.7857,24512
Chadron State College,Public,No,NULL,14567,NULL,38200,11250,0.4184,14567
Concordia University-Nebraska,Private,No,0.7495,NULL,19789,40100,18750,0.6624,19789
Creighton University,Private,No,0.7201,NULL,30427,59700,19500,0.806,30427
Grace University,Private,No,0.4591,NULL,20041,31400,12249,0.4286,20041
Hastings College,Private,No,0.6833,NULL,21703,44400,16752,0.5452,21703
University of Nebraska at Kearney,Public,No,0.8175,16644,NULL,41300,12500,0.6133,16644
Nebraska Methodist College of Nursing & Allied Health,Private,No,0.6818,NULL,21159,48700,20000,0.7,21159
Midland University,Private,No,0.643,NULL,23017,39900,13250,0.4868,23017
University of Nebraska at Omaha,Public,No,0.8653,13173,NULL,44200,13188,0.4708,13173
Purdue University Global-Omaha,Private,Yes,NULL,NULL,19569,33900,12500,0.25,19569
Nebraska Wesleyan University,Private,No,0.7126,NULL,23652,46000,18750,0.6518,23652
University of Nebraska-Lincoln,Public,No,0.6438,17784,NULL,46400,13919,0.6795,17784
Peru State College,Public,No,NULL,13182,NULL,37500,13460,0.3605,13182
College of Saint Mary,Private,No,0.5608,NULL,20154,41200,22250,0.4773,20154
Union College,Private,No,0.5995,NULL,20706,40800,19500,0.539,20706
Wayne State College,Public,No,NULL,13400,NULL,36100,13418,0.5089,13400
York College,Private,No,0.4849,NULL,15910,35400,14125,0.5378,15910
University of Nevada-Las Vegas,Public,No,0.8107,10555,NULL,45000,12500,0.4157,10555
University of Nevada-Reno,Public,No,0.8803,14505,NULL,47000,13250,0.54990000000000006,14505
Sierra Nevada College,Private,No,0.6898,NULL,37264,42100,15000,0.4412,37264
Dartmouth College,Private,No,0.1045,NULL,30421,75500,10342,0.9595,30421
Franklin Pierce University,Private,No,0.7643,NULL,24266,39700,12521,0.489,24266
New England College,Private,No,0.9959,NULL,26966,37900,11385,0.4222,26966
Southern New Hampshire University,Private,No,0.7805,NULL,40617,45400,7916,0.488,40617
University of New Hampshire-Main Campus,Public,No,0.7651,24529,NULL,51400,23250,0.7777,24529
Keene State College,Public,No,0.8267,19544,NULL,42400,20500,0.6236,19544
Plymouth State University,Public,No,0.7879,21829,NULL,41700,17158,0.5447,21829
Rivier University,Private,No,0.6794,NULL,23922,45400,19299,0.5408,23922
Granite State College,Public,No,NULL,13911,NULL,35400,9145,0.1379,13911
Caldwell University,Private,No,0.6374,NULL,22604,44400,21250,0.6601,22604
Centenary University,Private,No,0.87,NULL,20810,45800,19326,0.6064,20810
Drew University,Private,No,0.6343,NULL,26218,52700,19583,0.6189,26218
Fairleigh Dickinson University-Metropolitan Campus,Private,No,0.8753,NULL,16136,48100,18750,0.3896,16136
Felician University,Private,No,0.7941,NULL,18056,47300,19791,0.4692,18056
Fairleigh Dickinson University-Florham Campus,Private,No,0.839,NULL,22466,48100,18750,0.547,22466
Georgian Court University,Private,No,0.6886,NULL,24553,44400,18750,0.4774,24553
Rowan University,Public,No,0.6942,23692,NULL,50000,16750,0.6894,23692
New Jersey City University,Public,No,0.9185,12659,NULL,42700,12750,0.3289,12659
Kean University,Public,No,0.8222,19044,NULL,46100,17751,0.4863,19044
Monmouth University,Private,No,0.7394,NULL,30273,50500,21315,0.7044,30273
Montclair State University,Public,No,0.7066,18500,NULL,49600,18776,0.6533,18500
New Jersey Institute of Technology,Public,No,0.6139,20011,NULL,68500,18000,0.6355,20011
Princeton University,Private,No,0.0641,NULL,10027,74700,8500,0.9731,10027
Ramapo College of New Jersey,Public,No,0.5736,21316,NULL,53200,18750,0.7402,21316
Rider University,Private,No,0.6712,NULL,28952,50600,20500,0.6234,28952
Rutgers University-Camden,Public,No,0.6933,13225,NULL,57900,18750,0.58,13225
Rutgers University-New Brunswick,Public,No,0.578,20379,NULL,57900,18750,0.8007,20379
Rutgers University-Newark,Public,No,0.6424,13205,NULL,57900,18750,0.6789,13205
Saint Peter's University,Private,No,0.9129,NULL,12382,45800,17621,0.5372,12382
Seton Hall University,Private,No,0.7316,NULL,27563,57200,19500,0.6714,27563
College of Saint Elizabeth,Private,No,0.6457,NULL,19476,43400,13000,0.4101,19476
Stevens Institute of Technology,Private,No,0.4388,NULL,36620,89200,24000,0.8301,36620
Stockton University,Public,No,0.8153,20364,NULL,47500,18500,0.7284,20364
The College of New Jersey,Public,No,0.4753,26670,NULL,58500,20500,0.8658,26670
William Paterson University of New Jersey,Public,No,0.9239,17064,NULL,46600,17125,0.5516,17064
Eastern New Mexico University-Main Campus,Public,No,0.6045,8801,NULL,29500,10204,0.3343,8801
New Mexico Highlands University,Public,No,NULL,13685,NULL,36300,10243,0.2222,13685
