name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
University of California-Santa Barbara,Public,No,0.3281,15764,NULL,55300,13010,0.8149,15764
University of California-Santa Cruz,Public,No,0.5094,17877,NULL,46900,16200,0.7721,17877
California Institute of the Arts,Private,No,0.2406,NULL,46101,37900,25000,0.6692,46101
California State University Maritime Academy,Public,No,0.6635,16416,NULL,82900,19380,0.6408,16416
Chapman University,Private,No,0.5724,NULL,39228,54500,19000,0.7905,39228
Concordia University-Irvine,Private,No,0.5845,NULL,23867,46400,19096,0.6463,23867
San Diego Christian College,Private,No,0.6235,NULL,27039,36700,15250,0.5679,27039
Claremont McKenna College,Private,No,0.1036,NULL,26933,72900,13035,0.898,26933
Coleman University,Private,No,NULL,NULL,29346,46600,13992,0.4808,29346
Dominican University of California,Private,No,0.8843,NULL,33669,55600,27000,0.7204,33669
Empire College,Private,Yes,NULL,NULL,22547,33300,11368,0.5806,22547
Fresno Pacific University,Private,No,0.7239,NULL,16177,43900,18774,0.6538,16177
Holy Names University,Private,No,0.5256,NULL,21566,50800,18750,0.4274,21566
Humboldt State University,Public,No,0.8183,14490,NULL,36600,14000,0.4659,14490
Humphreys University-Stockton and Modesto Campuses,Private,No,NULL,NULL,19348,28800,24288,0.4098,19348
Life Pacific College,Private,No,0.9669,NULL,21556,32700,14000,0.4815,21556
University of La Verne,Private,No,0.4754,NULL,25429,49200,21693,0.6627,25429
Laguna College of Art and Design,Private,No,0.3346,NULL,36095,32900,19786,0.5161,36095
La Sierra University,Private,No,0.4821,NULL,24370,49500,18745,0.4742,24370
The Master's University and Seminary,Private,No,0.658,NULL,26294,41700,17083,0.5546,26294
Argosy University-The Art Institute of California-San Francisco,Private,Yes,NULL,NULL,24834,41400,15585,0.3275,24834
Loyola Marymount University,Private,No,0.5248,NULL,40676,61300,19000,0.7911,40676
Marymount California University,Private,No,NULL,NULL,27487,35900,13899,0.3487,27487
Mills College,Private,No,0.871,NULL,24558,39900,19000,0.6905,24558
Mount Saint Mary's University,Private,No,0.8121,NULL,28274,53200,20417,0.658,28274
National University,Private,No,NULL,NULL,25665,59400,18750,0.4219,25665
Newschool of Architecture and Design,Private,Yes,0.9912,NULL,34755,49400,30750,0.3889,34755
Notre Dame de Namur University,Private,No,0.9362,NULL,27906,56400,18750,0.4773,27906
Otis College of Art and Design,Private,No,0.9125,NULL,41501,44900,26500,0.5514,41501
Hope International University,Private,No,0.2837,NULL,25607,36000,14858,0.4821,25607
Pacific Union College,Private,No,0.5021,NULL,20995,51700,21500,0.5192,20995
University of the Pacific,Private,No,0.6487,NULL,29171,71700,18750,0.7045,29171
Pepperdine University,Private,No,0.3985,NULL,33814,65500,21500,0.8488,33814
Point Loma Nazarene University,Private,No,0.7629,NULL,31452,50900,19500,0.7444,31452
University of Redlands,Private,No,0.7496,NULL,29520,55000,25000,0.7703,29520
Argosy University-San Francisco Bay Area,Private,Yes,NULL,NULL,26351,41400,15585,0,26351
San Diego State University,Public,No,0.3542,14030,NULL,51000,13715,0.7424,14030
University of San Diego,Private,No,0.4979,NULL,34752,60000,20500,0.8175,34752
San Francisco Art Institute,Private,No,0.7472,NULL,46570,31900,15813,0.4138,46570
San Francisco Conservatory of Music,Private,No,0.438,NULL,37289,19700,18500,0.6327,37289
San Francisco State University,Public,No,0.7046,13787,NULL,49200,13000,0.5359,13787
University of San Francisco,Private,No,0.6563,NULL,32210,62300,20000,0.7723,32210
William Jessup University,Private,No,0.6605,NULL,21817,37300,15750,0.6446,21817
San Jose State University,Public,No,0.6688,14627,NULL,56100,12899,0.5675,14627
Santa Clara University,Private,No,0.5356,NULL,33738,72600,18248,0.8977,33738
Scripps College,Private,No,0.3337,NULL,30974,54100,12000,0.8833,30974
Simpson University,Private,No,0.5561,NULL,27551,34500,16500,0.5674,27551
Saint Mary's College of California,Private,No,0.8162,NULL,33570,56300,21500,0.764,33570
Sonoma State University,Public,No,0.8203,17296,NULL,49200,13750,0.5846,17296
Vanguard University of Southern California,Private,No,0.4668,NULL,21374,41800,18000,0.6096,21374
Southern California Institute of Architecture,Private,No,NULL,NULL,55775,43100,29000,1,55775
University of Southern California,Private,No,0.1595,NULL,30232,74000,18500,0.9171,30232
Epic Bible College,Private,No,NULL,NULL,7601,25100,12667,0,7601
Whittier College,Private,No,0.7409,NULL,25322,46800,18250,0.6918,25322
Woodbury University,Private,No,0.6164,NULL,28973,48200,25000,0.521,28973
Adams State University,Public,No,0.9888,13742,NULL,35200,12000,0.2852,13742
University of Colorado Denver/Anschutz Medical Campus,Public,No,0.6522,14941,NULL,56400,14091,0.4485,14941
University of Colorado Colorado Springs,Public,No,0.9281,15872,NULL,43900,12500,0.4329,15872
University of Colorado Boulder,Public,No,0.7984,20706,NULL,50800,13889,0.6881,20706
Colorado Christian University,Private,No,NULL,NULL,24341,39300,13000,0.5017,24341
Colorado College,Private,No,0.1513,NULL,34032,45400,14227,0.8811,34032
Colorado School of Mines,Public,No,0.5572,25710,NULL,84900,21500,0.7804,25710
Colorado State University-Fort Collins,Public,No,0.8262,18700,NULL,47100,15000,0.686,18700
Colorado Technical University-Colorado Springs,Private,Yes,NULL,NULL,16012,42200,10500,0.2553,16012
University of Denver,Private,No,0.5805,NULL,32174,56500,18045,0.7512,32174
Fort Lewis College,Public,No,0.8321,17705,NULL,35200,10000,0.4018,17705
Colorado Mesa University,Public,No,0.8167,18200,NULL,36800,11768,0.3263,18200
Metropolitan State University of Denver,Public,No,0.6427,13276,NULL,40200,12813,0.2829,13276
Naropa University,Private,No,1,NULL,26574,20700,16125,0.3077,26574
University of Northern Colorado,Public,No,0.8908,20367,NULL,42000,11932,0.4775,20367
Regis University,Private,No,0.5992,NULL,23672,56400,19241,0.7121,23672
Rocky Mountain College of Art and Design,Private,Yes,NULL,NULL,23198,33000,16750,0.4624,23198
Colorado State University-Pueblo,Public,No,0.9534,15312,NULL,37500,12500,0.35,15312
Western State Colorado University,Public,No,0.8598,17229,NULL,39000,12000,0.4097,17229
Albertus Magnus College,Private,No,0.6388,NULL,24614,51200,23944,0.6133,24614
University of Bridgeport,Private,No,0.5389,NULL,22642,43100,20500,0.4158,22642
Central Connecticut State University,Public,No,0.6676,17889,NULL,47900,16500,0.5209,17889
University of Connecticut,Public,No,0.4784,20681,NULL,58400,19000,0.8285,20681
Eastern Connecticut State University,Public,No,0.6581,18719,NULL,46400,17750,0.5446,18719
Fairfield University,Private,No,0.6056,NULL,36929,72100,23250,0.8095,36929
University of Hartford,Private,No,0.8089,NULL,30440,47800,19495,0.596,30440
University of New Haven,Private,No,0.8776,NULL,33380,52100,22092,0.6033,33380
Post University,Private,Yes,0.635,NULL,19649,40900,9500,0.2457,19649
Quinnipiac University,Private,No,0.7388,NULL,38695,63300,20875,0.7478,38695
Sacred Heart University,Private,No,0.6028,NULL,39973,56000,20265,0.7245,39973
University of Saint Joseph,Private,No,0.9029,NULL,25589,52800,24026,0.6815,25589
